Video ID,Ground Truth HR,Predicted HR,Absolute Error
1254-20220508112152504_tmp_6e950d5b49c8ddb16caad931ec9b01a3.mp4,50.0,150.0,100.0
1512-20230809105835021_tmp_0ffa14a1ac282678d1c02b917add8e718c18c19d2661bc56.mp4,78.0,163.92857142857144,85.92857142857144
1574-20240110102658854_tmp_681495a4732bde3c67a5fa6a6ca293c01f5ededc39b82542.mp4,88.0,3.214285714285714,84.78571428571429
386-20221025164300052_tmp_3087f04b42666bf57a7e409d26b701ed.mp4,61.0,144.54545454545456,83.54545454545456
885-20220325110136673_tmp_a7bfb303a13d783dc1f38be88f3db0d2b7f08148ce522a9f.mp4,68.0,144.64285714285714,76.64285714285714
734-20221216165612258_tmp_41f5f0034458f195cf51057646ade3f1.mp4,68.0,144.47368421052636,76.47368421052636
1379-20231207204201985_tmp_49828ef793fdee94be04d49b8c4498ed0e03a585479ce73b.mp4,90.0,163.92857142857144,73.92857142857144
1392-20240119164440451_tmp_dabe5fee70798323779b27a89c94a7ab29755642ca2df98d.mp4,75.0,147.85714285714283,72.85714285714283
1109-20221118160508653_tmp_98b3918a642b260a19b1cd4c68f30002.mp4,91.0,163.63636363636363,72.63636363636363
215-20221104205228279_tmp_059744732ff49b23a297911127f1c525.mp4,88.0,16.363636363636363,71.63636363636364
1522-20230905153244929_tmp_0a992fd62b9f5650f1703e3b01a6b875a62fb41f40ca1232.mp4,83.0,16.07142857142857,66.92857142857143
1003-20230113025059967_tmp_af398e49fbbc19eaf0c50526e20148f6.mp4,59.0,125.45454545454544,66.45454545454544
888-20220504175544473_tmp_b40ad6d088ad8c8dd45c60901210ed908b5b76c0607abfb0.mp4,60.0,125.35714285714285,65.35714285714285
947-20220511072903028_tmp_24407f6640048ea6edcc47b564398791.mp4,56.0,120.0,64.0
946-20220511072609372_tmp_5705e0c6a50695cd478c538a9c1bac54.mp4,56.0,120.0,64.0
211-20221104204748987_tmp_be5cd60ae94cc6c8e30785077ef8b0a4.mp4,83.0,19.09090909090909,63.90909090909091
176-20221104101454319_tmp_d3bc9f2afe7900d6216b478521756643.mp4,62.0,125.45454545454544,63.45454545454544
1169-20230815074958908_tmp_33e42b06e965f1283c98d2ab2af061eb.mp4,79.0,16.07142857142857,62.92857142857143
991-20220507102012732_tmp_a5c63e3c26e16c15f5127b56e6f11ca5.mp4,98.0,35.45454545454545,62.54545454545455
1334-20230417182714483_tmp_7fc869af88f098613be45cb231fb9de6.mp4,63.0,125.35714285714285,62.35714285714285
